"house","name","species","gender","extra","mainspecies","House","mainspecies_n","long","lat","jitterlat","jitterlong","mscolor"
61,"Peppi","cat","unknown","hunter","cat","61",3,5.672689,51.9890198,51.9890048993477,5.6727774358129,"#BEBADA"
61,"Joey","cat","unknown","slow","cat","61",3,5.672689,51.9890198,51.9889737994433,5.67256715971773,"#BEBADA"
61,"Minous","cat","unknown","one ear","cat","61",3,5.672689,51.9890198,51.989007942316,5.67267066375265,"#BEBADA"
61,"Patunia","guinea pig","unknown","shy","other","61",1,5.672689,51.9890198,51.9890589124525,5.67278012796042,"#8DD3C7"
61,"Sally","watersalamander","unknown","Stanley's","other","61",1,5.672689,51.9890198,51.9890677261332,5.67278809785835,"#8DD3C7"
61,"The Frog","frog","unknown",NA,"other","61",1,5.672689,51.9890198,51.9890310040188,5.67271938866363,"#8DD3C7"
61,NA,"fish","unknown","several","other","61",1,5.672689,51.9890198,51.9889881076329,5.67250988389575,"#8DD3C7"
57,"Moki","cat","unknown","wild","cat","57",3,5.6728716,51.9893991,51.9894067637574,5.67296028338372,"#BEBADA"
57,NA,"snail","unknown","the unbaptized","snail","57",10,5.6728716,51.9893991,51.9894180981903,5.67301023980994,"#BC80BD"
57,NA,"snail","unknown","the unbaptized","snail","57",10,5.6728716,51.9893991,51.9893464504744,5.67282465849751,"#BC80BD"
57,NA,"snail","unknown","the unbaptized","snail","57",10,5.6728716,51.9893991,51.9894022222047,5.67273272961078,"#BC80BD"
57,NA,"snail","unknown","the unbaptized","snail","57",10,5.6728716,51.9893991,51.9894279419783,5.67302501499567,"#BC80BD"
57,NA,"snail","unknown","the unbaptized","snail","57",10,5.6728716,51.9893991,51.9893508396633,5.6727067756879,"#BC80BD"
57,NA,"snail","unknown","the unbaptized","snail","57",10,5.6728716,51.9893991,51.9893417275596,5.6728322197795,"#BC80BD"
57,NA,"snail","unknown","the unbaptized","snail","57",10,5.6728716,51.9893991,51.9893413515304,5.67301034009429,"#BC80BD"
57,NA,"snail","unknown","the unbaptized","snail","57",10,5.6728716,51.9893991,51.9894092579769,5.67286352740959,"#BC80BD"
